teryt,municipality,%_vaccinated
2468011,Jaworzno,51.7539
1404011,Gostynin,51.7407
407053,gm.m-w. Janikowo,51.7398
2610053,gm.m-w. Suchedniów,51.7238
806013,gm.m-w. Dobiegniew,51.7177
2804093,gm.m-w. Tolkmicko,51.7004
3207033,gm.m-w. Kamień Pomorski,51.6916
2605012,gm.w Fałków,51.6867
3005043,gm.m-w. Rakoniewice,51.6792
3011032,gm.w Kościan,51.6663
1821022,gm.w Cisna,51.6657
1005062,gm.w Kocierzew Południowy,51.6631
3010043,gm.m-w. Kleczew,51.6552
1020043,gm.m-w. Aleksandrów Łódzki,51.6139
2402082,gm.w Porąbka,51.6077
3009011,Koło,51.6073
410033,gm.m-w. Nakło nad Notecią,51.6069
401072,gm.w Raciążek,51.6046
1413011,Mława,51.5918
3016023,gm.m-w. Rogoźno,51.5894
411042,gm.w Osięciny,51.5872
1403011,Garwolin,51.5842
1212073,gm.m-w. Wolbrom,51.5654
810011,Gozdnica,51.562
3217033,gm.m-w. Mirosławiec,51.5508
414082,gm.w Pruszcz,51.5484
1429011,Sokołów Podlaski,51.5414
1427011,Sierpc,51.5404
1016011,Tomaszów Mazowiecki,51.5309
3015023,gm.m-w. Lwówek,51.5249
808032,gm.w Skąpe,51.5229
1434123,gm.m-w. Wołomin,51.5215
407073,gm.m-w. Pakość,51.5211
2605033,gm.m-w. Końskie,51.5162
1438011,Żyrardów,51.4994
402102,gm.w Zbiczno,51.4878
265011,Wałbrzych,51.4754
2608013,gm.m-w. Działoszyce,51.4682
1206143,gm.m-w. Świątniki Górne,51.4463
225021,Zgorzelec,51.4358
2414011,Bieruń,51.4323
1013011,Rawa Mazowiecka,51.4279
1607053,gm.m-w. Nysa,51.4185
2602012,gm.w Imielno,51.4066
2808011,Kętrzyn,51.3924
3010013,gm.m-w. Golina,51.3869
2402093,gm.m-w. Wilamowice,51.3656
2205083,gm.m-w. Żukowo,51.3337
810043,gm.m-w. Iłowa,51.3206
1206072,gm.w Liszki,51.3175
3203052,gm.w Wierzchowo,51.312
1437022,gm.w Kuczbork-Osada,51.2897
2215031,Wejherowo,51.2801
414093,gm.m-w. Świecie,51.2658
2416053,gm.m-w. Łazy,51.2586
1423063,gm.m-w. Przysucha,51.2441
2209062,gm.w Miłoradz,51.2421
217012,gm.w Borów,51.2409
619011,Włodawa,51.235
1412042,gm.w Cegłów,51.2187
1411082,gm.w Rzewnie,51.2157
2807021,Lubawa,51.1953
213033,gm.m-w. Milicz,51.1892
407092,gm.w Złotniki Kujawskie,51.1499
3211043,gm.m-w. Police,51.1394
1208022,gm.w Gołcza,51.1269
221042,gm.w Czarny Bór,51.1266
1417052,gm.w Kołbiel,51.1233
1411011,Maków Mazowiecki,51.1227
2815011,Ostróda,51.1004
803063,gm.m-w. Trzciel,51.0919
403032,gm.w Dobrcz,51.0871
803032,gm.w Przytoczna,51.0787
3216011,Świdwin,51.0758
2416083,gm.m-w. Szczekociny,51.0746
1403072,gm.w Maciejowice,51.0697
407042,gm.w Inowrocław,51.0342
3026012,gm.w Brodnica,51.02
409022,gm.w Jeziora Wielkie,51.0035
3023072,gm.w Strzałkowo,51.0019
2601013,gm.m-w. Busko-Zdrój,51.0014
1219032,gm.w Kłaj,50.9967
3213021,Sławno,50.9913
208021,Kłodzko,50.986
3214062,gm.w Kobylanka,50.9837
1006103,gm.m-w. Rzgów,50.9819
2410022,gm.w Kobiór,50.9757
1214053,gm.m-w. Proszowice,50.9287
808063,gm.m-w. Zbąszynek,50.9126
3205023,gm.m-w. Gryfice,50.9029
403052,gm.w Nowa Wieś Wielka,50.8973
2211023,gm.m-w. Jastarnia,50.8825
2414031,Lędziny,50.8577
3022013,gm.m-w. Bojanowo,50.8496
1420082,gm.w Nowe Miasto,50.8467
3023022,gm.w Lądek,50.8348
1419092,gm.w Nowy Duninów,50.8168
3025022,gm.w Krzykosy,50.8167
419013,gm.m-w. Barcin,50.7813
2214052,gm.w Subkowy,50.7729
2408042,gm.w Ornontowice,50.7687
410053,gm.m-w. Szubin,50.7485
1213043,gm.m-w. Kęty,50.7443
2603022,gm.w Czarnocin,50.7387
1017032,gm.w Konopnica,50.7316
2611011,Starachowice,50.7263
419063,gm.m-w. Żnin,50.7169
802011,Gubin,50.7139
2404132,gm.w Poczesna,50.708
809053,gm.m-w. Nowogród Bobrzański,50.6982
2213082,gm.w Osiek,50.6953
3204052,gm.w Osina,50.6944
2807073,gm.m-w. Zalewo,50.6941
2216042,gm.w Stary Targ,50.6931
407033,gm.m-w. Gniewkowo,50.6881
404072,gm.w Unisław,50.6796
1214042,gm.w Pałecznica,50.6726
3010022,gm.w Grodziec,50.6724
803012,gm.w Bledzew,50.6657
1206123,gm.m-w. Słomniki,50.6528
3202033,gm.m-w. Drawno,50.6509
1422052,gm.w Krasne,50.6461
3212012,gm.w Bielice,50.6365
2216053,gm.m-w. Sztum,50.6215
3016032,gm.w Ryczywół,50.6057
1419022,gm.w Bodzanów,50.5765
418022,gm.w Baruchowo,50.5724
2403021,Ustroń,50.5598
809013,gm.m-w. Babimost,50.5585
226052,gm.w Zagrodno,50.557
464011,Włocławek,50.5366
3203023,gm.m-w. Drawsko Pomorskie,50.5233
403072,gm.w Sicienko,50.5189
1213052,gm.w Osiek,50.5018
1433011,Węgrów,50.4979
262011,Legnica,50.4958
1206012,gm.w Czernichów,50.4897
1864011,Tarnobrzeg,50.4875
1406012,gm.w Belsk Duży,50.4814
418032,gm.w Boniewo,50.4782
2409011,Myszków,50.475
2814072,gm.w Jonkowo,50.4203
3030012,gm.w Kołaczkowo,50.4175
1004022,gm.w Daszyna,50.3789
1008062,gm.w Lutomiersk,50.3663
802022,gm.w Bobrowice,50.3322
3025032,gm.w Nowe Miasto nad Wartą,50.2783
1215072,gm.w Stryszawa,50.2767
3207063,gm.m-w. Wolin,50.2525
3031011,Złotów,50.2142
407082,gm.w Rojewo,50.2011
2414052,gm.w Chełm Śląski,50.1796
1437042,gm.w Lutocin,50.1787
3023083,gm.m-w. Zagórów,50.1577
2417082,gm.w Łodygowice,50.1537
3013043,gm.m-w. Rydzyna,50.1423
1208062,gm.w Racławice,50.1408
3002073,gm.m-w. Trzcianka,50.1321
1218093,gm.m-w. Wadowice,50.1264
2208011,Lębork,50.0897
2403122,gm.w Zebrzydowice,50.0832
601021,Terespol,50.0641
1002052,gm.w Krzyżanów,50.0476
2804082,gm.w Rychliki,50.0402
3204043,gm.m-w. Nowogard,50.0224
2403052,gm.w Chybie,50.0203
416063,gm.m-w. Tuchola,50.0074
1406113,gm.m-w. Warka,50.0026
3205083,gm.m-w. Trzebiatów,49.9906
402062,gm.w Bartniczka,49.9788
3011053,gm.m-w. Śmigiel,49.9743
